Noun           :   0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63
street         :   5    8   92   41    4   14   23    5    2    1  153  116  217   31   68   22   25   16    8   62    2    0   72    4    5    5    4   11    0    2   17    4    7   10  254  263   72   65   79   27   31   26   20   49   10    5   11    2   10    4   11    7   26    1  364   29   29   28   19    8   41    2    8   89
cactus         :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    1    1
panda          :   0    0    3    0    0    0    0    0    0    0    0    5    5    0    3    0    0    1    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    7    4    2    0    1    0    1    1    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    2
shining        :   0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0  115    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0    4
blouse         :   1    0    4    1    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    0    0    2    0    0    0    0    0    0    0    0    0    0    1    0    0    0    2    0    0    0    0    0    0    0    0    1    0    1    0    0    0    1    0    0    0    0    0    0    0
boogie         :   0    0    3    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    1    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
hazy           :   0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1   12
lampshade      :   0    0   10    0    0    1    0    0    0    0    0    3    0    0    1    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
net            :   0    0    5    0    0    0    0    0    0    0    0    2    0    1   11    4    0    1    1    0    0    0    0    0    0    0    1    0    0    0    1    0    3    0    0    6    2    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    2    3    0    0    2    0    3    0    0    1
disney         :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0   11    0    1    0    0    0    0    0    0    0
herb           :   0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8    0    0    0    0    0    0    0    0    1
herd           :   0    0    0    0    0    0    0    0    0    0    0    0   22    0    1    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    3    4    5    2    1    0    0    0    3    1    0    0    0    0    0    0    0    0    0    0    3    0    2    1    1    0    0    0    2    0
protection     :   0    0    0    0    0    0    1    0    0    0    0    1    0    1    0    0    1    1    4    0    0    0    0    1    0    0    0    0    0    0    2    0    0    0    0    7    2    1    2    0    0    2    1    1    2    0    1    0    1    0    0    0    0    0    1    2    1    1    1    2    9    0    0    8
china          :   0    0    0    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1    3   10    1    0    0    0    1    2    0    1    0    0    0    0    0    0    1    0    1    0    0    1    0    0    0    0    0    0    2
dorm           :   0    0    0    0    0    0    0    0    0    0    0    0    7    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0
path           :   0    0    0    1    0    0    0    0    0    0    0    5    4    0   10    0    1    2    3    1    0    0    0    0    0    0    0    0    0    0    0    0    1    0    3   14    0    0    2    0    1    0    1    2    2    0    3    0    0    0    1    0    0    0    4    1    0    0    3    1    0    3    2   10
cardboard      :   0    0    1    0    0    0    0    3    0    0    0    1    0    0    1    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    2    1    1    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1    5    0    0    0    0    0    0    0    0    1
celebration    :   0    0    0    0    0    0    0    0    0    0    0    5   30   11    5    6    0    1    0    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    6    0    1    1    2    1    2    0    1    0    0    0    0    0    0    0    0    0    9    1    1    2    3    0    1    0    1    3
dry            :   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    1    0    0    1   45    4    0    0    0    0    3    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
substance      :   0    0    1    0    0    0    0    0    0    0    0   43    0    3    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    0    2    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0   38    0    1    1    0    0    1    0    1    1
daughter       :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    2    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    2    2
luggage        :   3    0   37    3    1    2    1    4    0    0    0    7    7   11    6    1    5   16    3    2    0    0    1    5    7    2    5    0    0    1    2    1    1    0   68   27   22   10    5    0   11    8    5    6    7    0    2    0    0    3    1    7    1    2   12    3   14    6    5    8    7    6    3   31
credit         :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    3    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    2    0    0   10    0    0    0    0    0    0    0    4    0   11    0    0    0    0    2    0    0    0    6
smoke          :   0    0   13    0    1    0    0    0    0    0    1    3    1    1    3    0    1   12    0    0    0    0    0    0    0    0    0    0    0    0    2    0    1    0    9   15    2    5    0    0    9    1    0    0    2    0    0    0    0    0    0    0    0    0    3    2    7    1    0    1    5    0    0    6
military       :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    4    0    0    0    0    1    5    0    1    0    0    0    1    0    0    0    0    0   16    1    2    1    0    1    0    0    0    2
secure         :   0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    4    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1
stray          :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    6    4    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
straw          :   1    0    5    0    0    0    0    1    0    0    0    0    0    1    5    0    0    3    1    0    0    0    0    0    0    0    1    0    0    0    0    0    1    0    0    4    1    2    1    0    1    2    1    0    0    0    0    0    0    0    0    0    0    0    2    1    0    0    0    0    2    0    0    0
strap          :   1    0    3    0    0    0    0    0    0    0    0    2    0    0    3    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    1    0    0    0    3    0    0    0    0    0    0    0    2    0    0    0    0    1    6    1    0    0    1    3    0    0    2
county         :   0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    8    1    0    0    0    0    0    0    0    1
visible        :   0    0    1    0    0    0    0    0    0    0    0    6    0    0   35    0    0    0    4    0    0    0    2    0    0    0    1    0    0    5    0    0    0    0    0   58    3    1    4    0   29    0    0    1    0    0    0    0    0    0    0    0    0    1    0    1   22    2    0    0    0    0    0    2
total          :   0    0    0    0    0    0    0    0    0    0    0    6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    1
unit           :   0    0    0    0    0    1    0    0    0    0    0    1    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    1    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    1    0    0    0    0
plow           :   0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    1    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    1    0    0
army           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    9    0    0    0    0    2    0    0    0    1    0    1    0    0    2    2    0    0    0    2    0    1    0    0    0    0    0    3    0    2    0    0    0    0    0    0    0
sweater        :   1    0   62    0    0    0    0    0    0    1    3    3    0    1    2    2    2    1    5    0    0    0    0   13    0    0    1    0    0    1    1    2    1    0    3    7    3    1    0    0    1    3    0    0    2    0    0    0    0    9    0    0    1    0    9    1    3    0    3    0    2    0    0    2
hungry         :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7    0    0    0    0    0    0    0   13    0    0    0    0    0    0    0    0   66   18    0    9    0    0    3   11    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    2
call           :   0    0    0    0    0    0    0    0    0    0    0    4    2    0    1    0    1    0    2    1    1    0    0    0    0    0    1    0    0    1    0    0    0    0    0    2    2    0    1    0    1    2    1    0    0    0    0    0    1    0    0    0    0    0    1    0    2    0    1    0    0    0    0   10
calm           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  247    8    0    4    0    0    8    0    0    1    0    0    0    0    0    0    0    0    0    0    0    2    0    3    1    0    0    0    0
strike         :   0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    1    0    0    2    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   16
dairy          :   0    0    0    0    0    0    0    0    0    0    0    1    4    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    6    9    0    1    0    3    1    7    0    3    0    0    0    0    0    0    0    0    0    6    1    0    0    0    1    0    0    0    1
type           :   0    0    0    0    0    0    0    0    0    0   12   46   15    1    5 6653    2    0    0    1   29    0    0    0    0    1    0    1    0    0    0    1    2    0   24   16   21   12   20    4   21    5   14    6   10    1    2    1    1    1    2    4    3    0   77   27    4   15    0   11   14    1    1   88
tell           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    1    0    0    0    0    0    0    1    0    0    0    1    0    0    0    0    2
calf           :   0    0    3    0    0    1    0    1    1    0    0    5    3    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    8    1    0    3    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1    0    2
award          :   0    0    0    0    0    0    1    0    0    0    1    1    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    1    0    2
hurt           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5    2    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    3
glass          :   1    0   25    1    0    6    4  148    1    1    0   46   19   40   51   39    6   12    6    9    0    0    1    0    1    0    3    0    0    0    6    2    8    1   40  201   18   43   13    1   56   23    6    5    4    1    0    0    1    4    2    2    4    2  102   17   18    6   17    3    7    2    2   20
warm           :   0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    2    1    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0   59   10    1    2    0    0    9    1    0    1    0    0    0    0    0    0    0    0    0    3    0    0    1    2    0    1    0    0    2
adult          :   0    0    2    1    0    0    0    0    0    0    0    8   26    1    2    0    0    0    2    2    0    0    2    0    0    0    0   93    0    9    2   16    1    0   21   60   17    1    3    1    8    6   21    1    8    0    2    0    2    2    0    4    0    0    2    1   19    5    4    2    0    0    2   13
hole           :   0    0    0    0    0    0    0    1    0    0    0    5    2    2   12    0    0    1    1    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    2    4    1    1    0    0    1    4    0    0    2    0    0    0    0    0    0    1    0    0    2    4    0    0    0    0    5    0    4    5
hold           :   0    0    0    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    0    9    0    0    0    0    0    0    0    0    0    0    0    0    0    0   10    2    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    9    0    0    0    6    0    0    0    1    2
word           :   0    0   14    0    0    0    0    1    0    0    0  175    0    0    3    0    3   19    0   28    1    0    0    0    0    0    1    0    0    0    1    0    1    1   10   15    0   12    2    1    2   10    0    0    0    0    0    0    0    2    0    5    4    0  283    6    3    0    3    0    0    0    0   20
room           :   2   63   46   14    0    3    5   15    2    0    6  106  365  328  355  224    4   14    2    1  149    0   51    4    2    5    3   16 1525    2   12    2    7    0  369  324  405   38   29   21  165   60   11   64  197    3    5    0    3    3   19   12   25    2  429  263   32    8   31   24   36   23   22  162
setup          :   0    0    0    0    0    0    0    0    0    0    0    1    4    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    2
work           :   0    0    1    0    0    0    0    0    0    0    0    3   17    8    0   10    0    0    8    2    2    0    0    1    0    0    5    0    0    5    0    3    1    0    1    5   13    1    7    1    5   51   11    0   40    0    3    0    3    0    2    0    0    0   17    2    5    1    3   11    1    0    0   33
gasoline       :   0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    1    0    6    0    0    0    0    0    0    0    0    1    0    1    0    0    0    2    0    0    0    0
roof           :   8    0   55    0    1   11    2    0    0    0    1   23    3   10   11   10    7    3    0    1    0    0    0    1    0    0    0    0    0    0    3    0    0    1   11   21    4   11    4    1    3   11    0    3    4    0    0    0    0    1    0    1    0    0   17    0    6    1    0    2    4    1    2    4
rim            :   0    0   17    0    0    0    0    0    0    0    0    1    0    0    0    1    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    1    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    2    0    0    0    0    0    1    0    0    1
era            :   0    0    0    0    0    0    0    0    0    0    0    1    4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    5    0    0    0    0    0    1    0    1    0    0    1    0    0    0    0    0    0   30    0    0    0    0    0    0    0    0    1
foliage        :   0    0    6    0    0    0    0    0    0    0    0    0    1    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    8    3    1    0    0    7    1    0    1    0    0    0    0    0    0    0    0    1    0    1    1    0    0    0    3    0    0    0    4
elbow          :   0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    1    0    3    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    2    1    0    0    0    1    0    0    2
plunger        :   0    0    2    0    0    0    0    0    0    0    0    1    0    0    8    0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1
root           :   0    0    0    0    0    0    0    0    0    0    0    3    1    1    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    1    0    0    2    0    0    0    0    0    0    0    0    0    0    0    2    0    0    2    0    0    0    0    0    1
example        :   0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0   12    0    0    0    0    0    0    0    2    5    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    4
cone           :   0    0   30    0    0    0    0    2    0    0    0    3    0    1    2    0    0    6    0    1    0    0    0    1    0    0    0    0    0    0    0    0    1    0    3    4    0    2    1    0    1    0    0    0    0    0    0    0    1    0    0    1    1    0    2    1    0    0    0    0    5    0    0    3
household      :   0    0    0    0    0    0    0    0    0    0    0    0    2    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    1    0    0    0    0    1    0    1    3    0    0    0    0    0    1    0    0    0    2    1    0    0    0    0    0    0    0    6
india          :   0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   10    0    0    0    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    2    3
honey          :   0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    1    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    0    0    0    0    1    0    1    2
currency       :   0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    7    1    1    0    1    0    0    0    0    0
